label,prediction,count
1,1,11661
1,2,974
1,3,442
1,4,552
2,1,160627
2,2,671567
2,3,201271
2,4,199013
3,1,15208
3,2,19787
3,3,206009
3,4,18880
4,1,1983
4,2,6346
4,3,2560
4,4,29887
