severity,precision,recall,f1
1,0.06154244005932056,0.8556020250935505,0.11482561002028478
2,0.9612022202057039,0.5448916735227728,0.6955092090109944
3,0.5021156180383248,0.792695972049068,0.6147999152448796
4,0.12035098175023759,0.73295566019227,0.20675318566072196
