q4_results.state,q4_results.city,q4_results.severity,q4_results.accident_count,q4_results.avg_duration_minutes
UT,Lewiston,1,1,45.0
PA,Lewistown,1,6,99.17
NC,Lewisville,1,1,15.0
TX,Lewisville,1,2,46.0
KY,Lexington,1,122,42.97
MA,Lexington,1,13,43.57
NC,Lexington,1,10,305.4
SC,Lexington,1,83,47.51
VA,Lexington,1,5,18.99
MD,Lexington Park,1,4,29.06
SC,Liberty,1,39,45.03
TX,Liberty Hill,1,2,37.03
IL,Libertyville,1,13,40.6
GA,Lilburn,1,3,53.18
NC,Lillington,1,1,120.0
OH,Lima,1,1,45.97
TN,Limestone,1,1,62.32
CA,Lincoln,1,11,30.43
MA,Lincoln,1,1,59.6
NE,Lincoln,1,1,76.07
RI,Lincoln,1,8,23.04
MI,Lincoln Park,1,2,39.77
IL,Lincolnshire,1,3,40.04
CA,Linden,1,4,49.35
MI,Linden,1,5,48.07
NJ,Linden,1,1,29.2
PA,Linden,1,1,28.95
UT,Lindon,1,6,55.15
CA,Lindsay,1,5,42.31
PA,Line Lexington,1,1,29.67
MD,Linthicum Heights,1,7,36.23
NC,Linwood,1,5,132.0
IL,Lisle,1,27,40.28
MN,Litchfield,1,3,34.53
NH,Litchfield,1,1,45.0
OH,Litchfield,1,4,27.33
AZ,Litchfield Park,1,11,50.4
FL,Lithia,1,13,49.42
GA,Lithia Springs,1,6,39.94
GA,Lithonia,1,4,30.0
PA,Lititz,1,10,97.87
TX,Little Elm,1,1,45.05
MN,Little Falls,1,3,49.41
SC,Little Mountain,1,4,41.07
CA,Little River,1,1,44.7
SC,Little River,1,25,54.34
AR,Little Rock,1,9,48.06
SC,Little Rock,1,1,29.87
IA,Little Sioux,1,2,52.27
CA,Littlerock,1,7,83.59
PA,Littlestown,1,2,90.48
CO,Littleton,1,53,37.73
MA,Littleton,1,2,37.5
CA,Live Oak,1,3,50.37
FL,Live Oak,1,5,42.21
CA,Livermore,1,127,29.5
PA,Liverpool,1,1,124.52
CA,Livingston,1,2,52.73
NJ,Livingston,1,1,29.45
MI,Livonia,1,4,52.45
CA,Llano,1,1,45.1
PA,Lock Haven,1,1,74.42
OH,Lockbourne,1,5,47.62
CA,Lockeford,1,4,15.0
TX,Lockhart,1,1,29.7
IL,Lockport,1,1,29.17
NY,Lockport,1,1,29.48
CA,Lockwood,1,1,83.32
AL,Locust Fork,1,1,29.42
GA,Locust Grove,1,2,29.85
SC,Lodge,1,3,60.9
CA,Lodi,1,36,33.2
IN,Logansport,1,1,44.82
GA,Loganville,1,1,30.0
CA,Loleta,1,2,37.37
CA,Loma Linda,1,1,45.87
IL,Lombard,1,60,47.37
CA,Lompoc,1,7,58.85
OH,London,1,3,29.66
NH,Londonderry,1,1,59.5
CO,Lone Tree,1,7,45.74
MO,Lonedell,1,1,30.0
CA,Long Beach,1,23,38.39
NY,Long Beach,1,1,60.78
NY,Long Island City,1,1,75.88
MN,Long Prairie,1,1,29.68
CO,Longmont,1,7,40.66
SC,Longs,1,15,58.88
TX,Longview,1,4,40.65
WA,Longview,1,1,75.55
FL,Longwood,1,19,27.23
IN,Loogootee,1,1,43.83
CA,Loomis,1,4,30.15
WA,Loon Lake,1,2,29.61
OH,Lorain,1,2,29.98
PA,Loretto,1,3,28.39
SC,Loris,1,25,49.15
VA,Lorton,1,15,29.37
CA,Los Alamitos,1,2,37.2
CA,Los Alamos,1,2,45.37
CA,Los Altos,1,17,27.03
CA,Los Angeles,1,257,46.01
CA,Los Banos,1,23,26.31
CA,Los Gatos,1,140,26.27
CA,Los Olivos,1,1,29.7
CA,Los Osos,1,2,61.74
CA,Lost Hills,1,2,29.72
MD,Lothian,1,2,29.61
VA,Louisa,1,3,15.0
KY,Louisville,1,57,35.04
OH,Louisville,1,1,15.0
IL,Lovejoy,1,1,30.0
CO,Loveland,1,3,35.0
OH,Loveland,1,2,27.9
IL,Loves Park,1,2,29.84
VA,Lovingston,1,1,59.8
MA,Lowell,1,13,51.01
MI,Lowell,1,6,45.39
NC,Lowell,1,6,74.88
OH,Lowellville,1,1,45.62
CA,Lower Lake,1,2,44.78
NC,Lowgap,1,1,180.0
FL,Loxahatchee,1,8,49.8
AL,Loxley,1,1,65.42
NC,Lucama,1,1,120.0
CA,Lucerne Valley,1,1,45.0
KY,Ludlow,1,2,55.29
SC,Lugoff,1,18,54.83
NC,Lumberton,1,9,135.55
NV,Luning,1,1,61.27
FL,Lutz,1,71,55.16
AL,Luverne,1,2,52.48
SC,Lyman,1,20,44.73
SC,Lynchburg,1,7,53.52
VA,Lynchburg,1,2,32.29
MN,Lynd,1,2,44.31
WA,Lynden,1,2,32.48
MA,Lynn,1,5,52.75
MA,Lynnfield,1,5,44.81
WA,Lynnwood,1,20,30.24
CA,Lynwood,1,3,49.55
GA,Mableton,1,1,30.0
FL,Macclenny,1,8,41.09
NC,Macclesfield,1,1,120.0
IL,Mackinaw,1,1,45.08
MI,Macomb,1,3,46.86
GA,Macon,1,21,39.98
CA,Madera,1,55,33.56
AL,Madison,1,5,54.69
CA,Madison,1,1,34.97
FL,Madison,1,1,64.5
NC,Madison,1,1,88.0
TN,Madison,1,121,52.32
WI,Madison,1,16,40.06
VA,Madison Heights,1,1,75.83
LA,Madisonville,1,1,60.0
OR,Madras,1,1,66.0
CA,Magalia,1,1,29.58
NC,Maggie Valley,1,1,62.0
UT,Magna,1,14,48.12
NC,Magnolia,1,1,110.0
TX,Magnolia,1,3,39.47
OH,Maineville,1,1,74.08
FL,Maitland,1,22,33.65
FL,Malabar,1,8,28.71
MA,Malden,1,2,60.08
CA,Malibu,1,6,50.43
OH,Malinta,1,1,59.07
OH,Malta,1,2,44.74
PA,Malvern,1,14,43.72
NY,Mamaroneck,1,9,38.32
CA,Mammoth Lakes,1,2,53.38
LA,Mamou,1,1,45.77
NJ,Manahawkin,1,2,47.23
VA,Manassas,1,30,40.3
TX,Manchaca,1,2,29.87
CT,Manchester,1,1,15.0
IA,Manchester,1,1,30.32
MA,Manchester,1,1,29.8
NH,Manchester,1,4,48.53
TN,Manchester,1,1,74.58
CO,Mancos,1,1,28.88
LA,Mandeville,1,1,15.0
NY,Manhasset,1,4,38.74
KS,Manhattan,1,1,29.48
PA,Manheim,1,21,124.32
UT,Manila,1,1,77.5
MN,Mankato,1,15,53.61
SC,Manning,1,10,50.75
TX,Manor,1,65,46.74
NY,Manorville,1,1,39.42
OH,Mansfield,1,2,37.42
CA,Manteca,1,29,28.75
MN,Mantorville,1,1,29.63
MN,Maple Grove,1,1,59.55
OH,Maple Heights,1,13,42.09
WA,Maple Valley,1,1,15.0
AL,Maplesville,1,2,54.36
UT,Mapleton,1,1,29.47
AZ,Marana,1,28,51.55
FL,Marathon,1,2,29.56
TX,Marble Falls,1,2,37.74
MA,Marblehead,1,1,45.0
AL,Marbury,1,1,45.0
CA,March Air Reserve Base,1,5,62.14
FL,Marco Island,1,2,57.83
NY,Marcy,1,1,61.75
MD,Mardela Springs,1,1,44.65
FL,Margate,1,1,30.0
AZ,Maricopa,1,12,55.41
CA,Maricopa,1,4,41.09
GA,Marietta,1,24,41.72
PA,Marietta,1,1,159.68
SC,Marietta,1,16,54.79
CA,Marina,1,19,33.33
CA,Marina Del Rey,1,1,165.78
CA,Marina del Rey,1,2,37.07
AR,Marion,1,3,61.84
NC,Marion,1,7,94.86
SC,Marion,1,8,46.65
CA,Mariposa,1,3,45.26
IL,Markham,1,1,34.97
IN,Markleville,1,1,29.67
MA,Marlborough,1,2,18.33
NJ,Marlton,1,2,71.0
NJ,Marmora,1,1,29.28
MI,Marne,1,1,29.5
LA,Marrero,1,14,26.78
NC,Mars Hill,1,3,220.0
MN,Marshall,1,1,59.68
OH,Marshallville,1,1,15.0
NC,Marshville,1,3,104.59
SC,Martin,1,1,59.73
CA,Martinez,1,77,25.28
PA,Martinsburg,1,1,354.9
WV,Martinsburg,1,1,15.0
FL,Mary Esther,1,3,49.68
MO,Maryland Heights,1,5,26.61
CA,Marysville,1,6,76.78
OH,Marysville,1,2,37.54
WA,Marysville,1,19,32.31
TN,Maryville,1,2,44.87
FL,Mascotte,1,1,29.13
IL,Mascoutah,1,2,30.43
CT,Mashantucket,1,1,29.82
MA,Mashpee,1,2,52.58
OH,Mason,1,2,51.13
TN,Mason,1,4,48.75
NY,Massapequa,1,6,45.62
OH,Massillon,1,2,32.03
NY,Mastic,1,2,37.57
NY,Mastic Beach,1,2,76.36
NJ,Matawan,1,1,29.5
MA,Mattapan,1,16,47.82
MA,Mattapoisett,1,2,45.0
IL,Matteson,1,2,38.01
NC,Matthews,1,22,44.77
SC,Mauldin,1,5,41.74
NC,Maxton,1,2,227.0
TX,Maxwell,1,1,59.72
AZ,Mayer,1,2,44.83
MN,Mayer,1,2,37.15
SC,Mayesville,1,2,37.18
MN,Maynard,1,1,29.18
NJ,Mays Landing,1,4,76.73
MO,Maysville,1,1,30.0
PA,Maytown,1,1,32.8
IL,Maywood,1,6,24.98
AL,Mc Calla,1,1,30.0
SC,Mc Clellanville,1,2,59.63
SC,Mc Coll,1,3,50.43
SC,Mc Connells,1,3,63.92
SC,Mc Cormick,1,1,29.72
FL,Mc David,1,3,49.83
WI,Mc Farland,1,1,29.68
PA,Mc Kees Rocks,1,1,62.85
CA,Mc Kittrick,1,1,59.78
VA,Mc Lean,1,6,23.03
NC,Mc Leansville,1,5,119.6
FL,McAlpin,1,1,108.05
SC,McBee,1,3,59.78
AL,McCalla,1,2,50.03
IL,McClure,1,1,81.12
SC,McColl,1,2,59.76
IN,McCordsville,1,1,29.77
SC,McCormick,1,1,29.75
TN,McDonald,1,1,59.45
GA,McDonough,1,1,30.0
CA,McFarland,1,1,29.83
IL,McHenry,1,3,29.53
PA,McKees Rocks,1,2,87.99
PA,McKeesport,1,5,42.64
CA,McKinleyville,1,3,46.56
TX,McKinney,1,1,44.68
VA,McLean,1,2,58.32
OK,McLoud,1,1,29.75
OR,McMinnville,1,3,15.0
IL,Mchenry,1,1,29.82
OR,Mcminnville,1,2,15.0
CO,Mead,1,1,15.0
CA,Meadow Vista,1,1,29.53
NC,Mebane,1,2,131.98
PA,Mechanicsburg,1,6,63.72
VA,Mechanicsville,1,28,25.78
NY,Mechanicville,1,3,59.83
MA,Medfield,1,1,29.87
MA,Medford,1,22,44.05
MN,Medford,1,1,43.35
NJ,Medford,1,1,95.63
NY,Medford,1,4,39.7
OH,Medina,1,5,34.66
IL,Medinah,1,1,77.43
MA,Medway,1,1,29.55
OH,Medway,1,1,49.17
FL,Melbourne,1,90,31.23
FL,Melbourne Beach,1,1,30.0
MA,Melrose,1,4,57.07
MN,Melrose,1,1,119.63
NY,Melville,1,2,47.35
IN,Memphis,1,1,45.53
TN,Memphis,1,297,53.16
WI,Menasha,1,2,29.13
CA,Mendocino,1,1,45.65
CA,Mendota,1,6,40.25
IL,Mendota,1,1,60.38
CA,Menifee,1,2,29.31
CA,Menlo Park,1,17,48.25
CA,Mentone,1,4,44.53
OH,Mentor,1,5,25.79
CA,Merced,1,16,52.28
WA,Mercer Island,1,1,15.0
NJ,Merchantville,1,1,29.18
NH,Meredith,1,1,60.55
CT,Meriden,1,16,43.57
MS,Meridian,1,1,28.77
AL,Meridianville,1,2,37.21
PA,Merion Station,1,3,34.64
NY,Merrick,1,3,72.64
IL,Merrionette Park,1,1,15.0
FL,Merritt Island,1,21,39.45
AZ,Mesa,1,95,56.71
TX,Mesquite,1,7,38.27
LA,Metairie,1,9,21.67
MA,Methuen,1,9,42.71
AZ,Miami,1,1,29.33
FL,Miami,1,165,42.42
FL,Miami Beach,1,6,52.2
FL,Miami Gardens,1,7,36.54
FL,Miami Lakes,1,1,110.53
OH,Miamisburg,1,33,42.77
FL,Micanopy,1,1,59.83
NY,Middle Island,1,2,63.15
MA,Middleboro,1,1,45.0
FL,Middleburg,1,2,73.5
PA,Middleburg,1,3,87.71
OH,Middlefield,1,1,43.68
NC,Middlesex,1,1,120.0
MA,Middleton,1,1,29.85
WI,Middleton,1,1,29.6
CA,Middletown,1,2,37.23
DE,Middletown,1,25,46.9
NJ,Middletown,1,3,29.47
OH,Middletown,1,3,35.03
PA,Middletown,1,8,36.94
GA,Midland,1,4,34.99
TX,Midland,1,1,43.1
AL,Midland City,1,1,54.53
VA,Midlothian,1,132,68.51
UT,Midvale,1,16,43.19
FL,Midway,1,3,65.94
UT,Midway,1,2,44.68
CA,Midway City,1,1,29.62
PA,Mifflinburg,1,1,278.73
PA,Mifflintown,1,1,29.08
IN,Milan,1,1,45.58
MA,Milford,1,1,45.23
OH,Milford,1,4,43.96
CA,Mill Creek,1,1,107.93
WA,Mill Creek,1,1,15.0
CA,Mill Valley,1,31,29.77
CA,Millbrae,1,4,63.38
AL,Millbrook,1,2,49.29
NY,Millbrook,1,3,36.66
MA,Millbury,1,1,29.55
NY,Miller Place,1,1,64.2
NC,Millers Creek,1,2,180.0
OH,Millersburg,1,1,44.28
MD,Millersville,1,3,50.27
PA,Millersville,1,3,61.36
PA,Millheim,1,1,100.25
TN,Millington,1,3,54.94
PA,Millmont,1,2,285.63
NC,Mills River,1,2,103.84
CA,Milpitas,1,63,24.64
FL,Milton,1,21,36.89
MA,Milton,1,20,44.34
NY,Milton,1,1,61.33
PA,Milton,1,1,49.87
WA,Milton,1,2,30.0
WI,Milwaukee,1,37,34.91
FL,Mims,1,7,38.53
IA,Minden,1,1,28.9
NV,Minden,1,2,83.42
NY,Mineola,1,2,60.18
MN,Minneapolis,1,94,45.77
MN,Minnetonka,1,1,44.27
IL,Minooka,1,1,15.0
NC,Mint Hill,1,9,45.0
AL,Minter,1,1,29.55
CA,Mira Loma,1,1,63.03
FL,Miramar Beach,1,2,28.18
IN,Mishawaka,1,3,34.83
TX,Mission,1,4,40.92
CA,Mission Viejo,1,2,29.73
TX,Missouri City,1,2,44.64
UT,Moab,1,3,31.84
AL,Mobile,1,37,33.52
NC,Mocksville,1,3,92.89
CA,Modesto,1,65,35.36
OH,Mogadore,1,1,15.0
NY,Mohegan Lake,1,5,26.98
PA,Mohnton,1,1,29.7
CA,Mojave,1,2,68.1
OR,Molalla,1,6,24.98
FL,Molino,1,5,66.02
IL,Momence,1,1,29.5
SC,Moncks Corner,1,35,49.04
IL,Monee,1,1,30.0
SC,Monetta,1,2,59.74
MD,Monkton,1,1,44.23
OR,Monmouth,1,1,34.97
NC,Monroe,1,2,49.46
NY,Monroe,1,1,29.65
OH,Monroe,1,1,29.23
WA,Monroe,1,2,47.68
NJ,Monroe Township,1,3,45.0
PA,Monroeville,1,2,28.61
CA,Monrovia,1,3,46.87
MD,Monrovia,1,2,15.0
DE,Montchanin,1,1,89.53
CA,Montclair,1,2,29.54
CA,Monte Rio,1,1,15.0
CA,Montebello,1,2,44.63
CA,Monterey,1,13,33.43
TN,Monterey,1,1,60.28
AL,Montevallo,1,2,38.8
MN,Montevideo,1,1,29.25
AL,Montgomery,1,75,47.35
PA,Montgomery,1,1,47.4
TX,Montgomery,1,2,29.62
MD,Montgomery Village,1,1,34.97
FL,Monticello,1,4,52.03
MN,Monticello,1,4,48.6
PA,Montoursville,1,1,283.95
CO,Monument,1,1,60.0
OK,Moore,1,1,45.0
SC,Moore,1,23,44.61
NJ,Moorestown,1,4,59.56
NC,Mooresville,1,11,67.29
CA,Moorpark,1,2,45.18
MN,Mora,1,1,45.32
CA,Moraga,1,4,15.0
OH,Moraine,1,6,71.49
AZ,Morenci,1,1,29.8
CA,Moreno Valley,1,9,38.65
UT,Morgan,1,4,45.3
CA,Morgan Hill,1,52,47.35
NC,Morganton,1,4,101.81
PA,Morgantown,1,2,32.26
NY,Moriches,1,1,77.63
IL,Morris,1,2,24.98
MN,Morris,1,2,59.02
NJ,Morris Plains,1,1,30.0
PA,Morrisdale,1,1,74.63
CO,Morrison,1,2,64.59
AZ,Morristown,1,4,54.9
NC,Morrisville,1,54,76.74
CA,Morro Bay,1,1,107.03
IL,Morton,1,7,33.91
WA,Morton,1,1,105.27
IL,Morton Grove,1,8,42.06
VA,Moseley,1,6,101.99
CA,Moss Beach,1,4,71.29
CA,Moss Landing,1,25,34.42
WA,Mossyrock,1,2,15.0
MN,Motley,1,3,60.62
AL,Moulton,1,1,29.43
NH,Moultonborough,1,3,34.88
NV,Mound House,1,1,29.45
NC,Mount Airy,1,2,180.0
SC,Mount Carmel,1,1,76.32
FL,Mount Dora,1,2,67.84
NC,Mount Gilead,1,1,180.0
CA,Mount Hamilton,1,1,29.78
NC,Mount Holly,1,3,36.66
NJ,Mount Holly,1,4,21.5
WI,Mount Horeb,1,1,58.78
PA,Mount Joy,1,3,72.12
TN,Mount Juliet,1,5,33.0
NY,Mount Kisco,1,4,27.49
NJ,Mount Laurel,1,2,37.3
MI,Mount Morris,1,10,44.51
PA,Mount Pleasant,1,2,38.52
SC,Mount Pleasant,1,1,29.75
VA,Mount Solon,1,1,30.0
PA,Mount Union,1,1,121.0
NY,Mount Vernon,1,4,33.76
WA,Mount Vernon,1,3,25.0
MN,Mountain Lake,1,1,44.93
CA,Mountain Ranch,1,1,90.0
SC,Mountain Rest,1,8,41.06
PA,Mountain Top,1,1,15.0
CA,Mountain View,1,42,39.42
WA,Mountlake Terrace,1,3,30.0
PA,Mountville,1,4,88.06
MD,Mt Airy,1,1,28.85
FL,Mt Dora,1,1,29.43
NJ,Mt Ephraim,1,1,29.67
NC,Mt Holly,1,1,59.28
PA,Mt Joy,1,3,50.03
NY,Mt Kisco,1,2,29.83
NJ,Mt Laurel,1,1,29.85
SC,Mt Pleasant,1,3,49.53
UT,Mt Pleasant,1,1,61.75
IL,Mt Prospect,1,1,29.15
CA,Mt Wilson,1,1,44.38
CA,Muir Beach,1,6,15.0
WA,Mukilteo,1,1,61.5
FL,Mulberry,1,3,63.31
SC,Mullins,1,7,42.7
PA,Muncy,1,3,78.28
IL,Mundelein,1,14,30.69
OH,Munroe Falls,1,1,34.97
NC,Murfreesboro,1,1,120.0
TN,Murfreesboro,1,6,41.31
SC,Murrells Inlet,1,22,42.12
CA,Murrieta,1,8,39.58
IA,Muscatine,1,1,29.67
OK,Mustang,1,3,60.48
FL,Myakka City,1,4,55.05
CA,Myers Flat,1,1,45.07
MD,Myersville,1,1,58.53
SC,Myrtle Beach,1,152,46.99
UT,Myton,1,2,78.52
NY,Nanuet,1,12,33.23
CA,Napa,1,85,26.14
IL,Naperville,1,14,41.51
FL,Naples,1,56,60.53
PA,Narberth,1,4,33.72
NH,Nashua,1,7,45.32
NC,Nashville,1,3,223.67
TN,Nashville,1,1195,51.59
MN,Nashwauk,1,1,47.3
NY,Nassau,1,1,60.0
LA,Natchitoches,1,1,60.0
VA,Nathalie,1,1,30.08
MA,Natick,1,6,82.54
CA,National City,1,3,40.41
PA,Natrona Heights,1,1,29.23
CT,Naugatuck,1,1,45.33
FL,Navarre,1,7,40.53
NC,Nebo,1,2,298.5
MA,Needham,1,1,60.77
MA,Needham Heights,1,2,68.07
SC,Neeses,1,3,54.79
OR,Nehalem,1,1,49.97
IA,Neola,1,1,15.0
NJ,Neptune,1,1,45.0
NY,Nesconset,1,1,49.67
NJ,Neshanic Station,1,1,46.53
SC,Nesmith,1,1,44.82
CA,Nevada City,1,13,31.01
IN,New Albany,1,3,39.69
OH,New Albany,1,5,44.34
MI,New Baltimore,1,1,28.6
MA,New Bedford,1,1,28.67
WI,New Berlin,1,1,59.13
NC,New Bern,1,4,150.0
TX,New Braunfels,1,1,30.0
NJ,New Brunswick,1,1,41.17
TX,New Caney,1,4,61.6
OH,New Carlisle,1,1,59.7
DE,New Castle,1,31,41.68
PA,New Castle,1,2,74.6
NY,New City,1,1,29.47
PA,New Cumberland,1,3,73.42
SC,New Ellenton,1,1,29.57
PA,New Freedom,1,1,78.07
CT,New Haven,1,2,29.86
OH,New Haven,1,1,45.2
NC,New Hill,1,6,77.29
PA,New Holland,1,5,55.99
AL,New Hope,1,1,59.35
NY,New Hyde Park,1,1,44.88
PA,New Kensington,1,1,36.75
VA,New Kent,1,6,19.99
OH,New Lebanon,1,2,22.33
IL,New Lenox,1,2,15.0
MN,New London,1,1,29.0
NC,New London,1,2,164.89
WI,New London,1,1,48.03
LA,New Orleans,1,699,26.99
PA,New Oxford,1,8,75.77
IN,New Palestine,1,2,29.66
NY,New Paltz,1,5,45.99
PA,New Paris,1,1,73.63
FL,New Port Richey,1,90,49.34
AZ,New River,1,2,64.97
NY,New Rochelle,1,19,33.21
FL,New Smyrna Beach,1,3,31.66
PA,New Stanton,1,2,50.59
IN,New Washington,1,1,29.37
NY,New York,1,9,37.88
MN,New York Mills,1,1,45.33
SC,New Zion,1,2,52.28
OK,Newalla,1,3,49.71
CA,Newark,1,36,27.63
DE,Newark,1,23,40.81
NJ,Newark,1,1,29.07
OH,Newark,1,3,44.52
OR,Newberg,1,5,18.99
SC,Newberry,1,14,49.39
MD,Newburg,1,2,41.62
NY,Newburgh,1,9,36.71
MA,Newbury,1,1,76.97
CA,Newbury Park,1,5,54.33
CA,Newcastle,1,4,18.67
OK,Newcastle,1,1,28.8
WA,Newcastle,1,1,45.0
CA,Newhall,1,7,49.16
NC,Newland,1,1,120.0
CA,Newman,1,9,22.25
GA,Newnan,1,3,35.0
KY,Newport,1,2,37.83
MN,Newport,1,4,36.77
NH,Newport,1,2,45.15
PA,Newport,1,1,43.72
RI,Newport,1,4,60.67
CA,Newport Beach,1,2,46.52
VA,Newport News,1,60,46.69
AL,Newton,1,1,44.62
MA,Newton,1,10,47.77
NC,Newton,1,1,120.0
NH,Newton,1,1,29.93
MA,Newton Center,1,10,46.45
NC,Newton Grove,1,2,67.5
MA,Newton Highlands,1,7,54.28
MA,Newton Lower Falls,1,9,51.54
MA,Newton Upper Falls,1,1,60.38
MA,Newtonville,1,9,46.58
CT,Newtown,1,1,60.0
PA,Newtown Square,1,2,59.7
PA,Newville,1,3,73.96
NY,Niagara Falls,1,3,60.09
CA,Nicasio,1,12,20.95
CA,Nice,1,2,45.53
FL,Niceville,1,1,33.32
KY,Nicholasville,1,3,40.13
SC,Nichols,1,3,49.8
GA,Nicholson,1,1,59.7
IL,Niles,1,23,46.81
SC,Ninety Six,1,6,47.57
CA,Nipomo,1,8,53.57
MN,Nisswa,1,2,54.02
IN,Noblesville,1,1,15.0
VA,Nokesville,1,3,39.61
FL,Nokomis,1,1,28.77
CA,Norco,1,1,45.0
LA,Norco,1,1,46.53
GA,Norcross,1,7,44.77
CA,Norden,1,1,34.97
VA,Norfolk,1,75,42.45
NC,Norlina,1,1,180.0
OK,Norman,1,1,30.0
IL,Norridge,1,1,61.38
PA,Norristown,1,51,47.85
SC,North,1,9,50.04
MA,North Andover,1,4,61.11
CA,North Antelope Valley,1,1,29.77
MA,North Attleboro,1,1,29.85
SC,North Augusta,1,7,42.59
IL,North Aurora,1,1,15.0
NY,North Babylon,1,1,39.67
NY,North Baldwin,1,1,60.75
NY,North Bellmore,1,2,47.5
MA,North Billerica,1,28,41.03
MN,North Branch,1,3,46.41
OH,North Canton,1,5,26.23
SC,North Charleston,1,17,45.9
MA,North Chelmsford,1,2,37.29
VA,North Chesterfield,1,75,53.31
IL,North Chicago,1,15,40.21
NY,North Chili,1,2,119.17
MA,North Dartmouth,1,1,15.0
MD,North East,1,2,59.19
FL,North Fort Myers,1,60,56.65
CA,North Highlands,1,49,27.79
CA,North Hills,1,1,29.7
CA,North Hollywood,1,8,44.88
OH,North Jackson,1,1,24.98
RI,North Kingstown,1,7,38.87
IA,North Liberty,1,1,30.0
OH,North Lima,1,1,45.35
MN,North Mankato,1,1,74.5
SC,North Myrtle Beach,1,5,51.09
OH,North Olmsted,1,14,27.12
MA,North Oxford,1,1,29.72
FL,North Palm Beach,1,3,66.66
FL,North Port,1,21,36.15
RI,North Providence,1,3,65.83
TX,North Richland Hills,1,2,45.54
OH,North Ridgeville,1,8,25.54
OH,North Royalton,1,4,24.98
NY,North Salem,1,6,52.68
UT,North Salt Lake,1,5,40.36
RI,North Scituate,1,4,24.98
RI,North Smithfield,1,1,45.15
NY,North Tonawanda,1,1,29.72
IL,North Utica,1,1,29.73
PA,North Versailles,1,3,71.02
PA,North Wales,1,17,39.92
MA,Northampton,1,1,30.0
IL,Northbrook,1,1,15.0
MN,Northfield,1,3,66.24
OH,Northfield,1,1,34.97
AL,Northport,1,8,56.1
CA,Norwalk,1,1,59.42
CT,Norwalk,1,2,45.0
IA,Norwalk,1,1,59.8
SC,Norway,1,1,44.8
MA,Norwell,1,2,51.34
MA,Norwood,1,2,37.54
MN,Norwood Young America,1,2,29.59
MD,Nottingham,1,2,54.16
PA,Nottingham,1,2,85.87
CA,Novato,1,89,27.98
MI,Novi,1,4,57.81
CA,Nuevo,1,4,58.9
MI,Nunica,1,2,51.27
NY,Nyack,1,6,25.0
FL,O Brien,1,1,59.47
MO,O Fallon,1,3,30.0
MO,O'Fallon,1,1,44.4
IL,Oak Brook,1,13,42.85
WI,Oak Creek,1,1,15.0
IL,Oak Forest,1,1,44.58
FL,Oak Hill,1,2,67.5
CA,Oak Hills,1,1,60.0
IL,Oak Park,1,3,34.85
MI,Oak Park,1,1,30.77
CA,Oak View,1,1,76.05
NC,Oakboro,1,1,180.0
CA,Oakdale,1,7,30.75
PA,Oakdale,1,2,37.65
CA,Oakhurst,1,1,89.35
CA,Oakland,1,362,27.49
FL,Oakland,1,1,15.0
FL,Oakland Park,1,2,29.48
CA,Oakley,1,9,38.94
AL,Oakman,1,1,59.18
OR,Oakridge,1,1,44.67
OH,Oberlin,1,1,45.43
FL,Obrien,1,1,29.57
OR,Obrien,1,1,44.98
FL,Ocala,1,37,48.8
CA,Occidental,1,2,61.63
MD,Ocean City,1,1,29.6
MS,Ocean Springs,1,1,29.52
CA,Oceanside,1,9,40.41
NY,Oceanside,1,1,29.9
FL,Ochopee,1,1,117.1
FL,Ocklawaha,1,2,52.19
FL,Ocoee,1,20,39.47
WI,Oconomowoc,1,1,29.63
FL,Odessa,1,27,44.95
UT,Ogden,1,41,46.45
LA,Oil City,1,1,29.28
VA,Oilville,1,7,17.85
CA,Ojai,1,2,55.74
SC,Okatie,1,6,52.27
FL,Okeechobee,1,3,38.08
OK,Oklahoma City,1,591,49.53
KS,Olathe,1,1,65.43
NC,Old Fort,1,4,182.25
TN,Old Hickory,1,27,51.09
NY,Old Westbury,1,2,29.63
FL,Oldsmar,1,8,53.91
NC,Olin,1,1,180.0
CA,Olivehurst,1,5,48.3
MN,Olivia,1,1,61.73
LA,Olla,1,1,44.32
OH,Olmsted Falls,1,2,15.0
MD,Olney,1,1,30.0
WA,Olympia,1,7,39.81
NE,Omaha,1,71,40.9
MN,Onamia,1,2,45.34
TN,Oneida,1,1,29.77
AL,Oneonta,1,12,56.51
CA,Ontario,1,8,35.62
TN,Ooltewah,1,8,46.02
FL,Opa Locka,1,6,42.6
FL,Opa-Locka,1,3,29.21
AL,Opelika,1,9,58.87
CA,Orange,1,7,41.06
FL,Orange City,1,3,46.39
CA,Orange Cove,1,2,75.03
FL,Orange Park,1,3,49.76
SC,Orangeburg,1,36,51.89
CA,Orangevale,1,21,34.3
PA,Orangeville,1,1,59.68
PA,Orbisonia,1,1,29.6
WI,Oregon,1,2,75.3
OR,Oregon City,1,26,21.14
PA,Oreland,1,3,36.1
UT,Orem,1,11,55.88
CA,Orick,1,1,29.72
OH,Orient,1,2,46.3
CA,Orinda,1,25,27.47
CA,Orland,1,2,68.36
IL,Orland Park,1,2,36.96
FL,Orlando,1,777,39.78
FL,Ormond Beach,1,7,19.92
CA,Oro Grande,1,1,52.45
AZ,Oro Valley,1,1,29.8
MN,Oronoco,1,2,43.31
CA,Orosi,1,1,44.82
CA,Oroville,1,9,47.83
WA,Orting,1,1,45.03
FL,Osprey,1,2,68.69
NY,Ossining,1,6,26.59
