severity,precision,recall,f1
1,0.05709875035418031,0.8575830948712304,0.10706875466616589
2,0.9760518764208251,0.21250196758076006,0.3490173293319332
3,0.36735895534346735,0.7586153822474643,0.49500977957662845
4,0.06428830774673457,0.8467480871100648,0.11950346202502073
