model,imbalance_strategy,accuracy,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1
WeightedRandomForestClassifier,inverse_frequency_weights,0.3266626453758064,0.8416476419545575,0.32666264537580647,0.36536428227440354,0.36619947246630186,0.6688621329523798,0.2676498313999371
WeightedMultinomialLogisticRegression,inverse_frequency_weights,0.5942226592628366,0.8539738685790256,0.5942226592628366,0.6639474376001175,0.4113028150133967,0.7315363327144153,0.4079719799842202
